CV,localidad,MAE,Bias
Localidad,CANDELARIA,111484693.4736842,-6421789.052631579
Localidad,BARRIOS UNIDOS,99493871.91512196,2351890.668292683
Localidad,CHAPINERO,96365042.32,-16193273.2
Localidad,LOS MARTIRES,93104461.83486238,12860243.706422018
Localidad,ANTONIO NARIÑO,90419571.05228758,-6250274.137254902
Localidad,RAFAEL URIBE URIBE,89218853.85915492,-20096711.211267605
Localidad,SAN CRISTOBAL,84865038.85714285,16308787.42857143
Localidad,PUENTE ARANDA,83938973.33333333,670495.1957671958
Localidad,SANTA FE,77269833.27912088,-6426174.606593407
Localidad,SUBA,74415066.46857597,-3346041.9188544154
Localidad,USAQUEN,73312540.48182978,764139.8591010519
Localidad,TUNJUELITO,68585989.33333333,-4705254.4
Localidad,ENGATIVA,67315630.19793814,3391461.7030927837
Localidad,TEUSAQUILLO,66635645.56597511,-2568541.2124481327
Localidad,BOSA,64747004.631578945,22017566.315789472
Localidad,FONTIBON,62124434.28323109,-1028637.4877300614
Localidad,KENNEDY,61138991.0815822,-1406172.7082818295
Localidad,CIUDAD BOLIVAR,50168362.28205128,9190327.41025641
NorEste Holdout,CHAPINERO,184334533.44067797,-109271503.16949153
NorEste Holdout,CANDELARIA,153837250.69473684,-72724483.36842105
NorEste Holdout,BOSA,131094838.85714285,112548970.66666667
NorEste Holdout,ANTONIO NARIÑO,129626012.45856354,-17674495.68508287
NorEste Holdout,LOS MARTIRES,117176491.85507247,13895983.56521739
NorEste Holdout,SAN CRISTOBAL,111390519.1111111,-10424277.333333334
NorEste Holdout,BARRIOS UNIDOS,107654346.98853399,-4450461.681408681
NorEste Holdout,RAFAEL URIBE URIBE,107577071.82795699,-30808811.01075269
NorEste Holdout,PUENTE ARANDA,99908165.27433628,9440613.274336284
NorEste Holdout,TUNJUELITO,87667105.8028169,17285245.746478874
NorEste Holdout,SANTA FE,87329763.37254901,-7054083.051693405
NorEste Holdout,SUBA,84979097.1082353,-4342243.567394958
NorEste Holdout,TEUSAQUILLO,83324750.79288256,2804018.4612099645
NorEste Holdout,USAQUEN,77911291.61903161,1053565.651714862
NorEste Holdout,ENGATIVA,77373918.50509338,11119950.365874363
NorEste Holdout,KENNEDY,77001826.06172839,-38483.162551440335
NorEste Holdout,FONTIBON,76648128.76831345,-7582645.827938671
NorEste Holdout,CIUDAD BOLIVAR,74729145.89361702,17571648.021276597
Random CV,BARRIOS UNIDOS,123377237.07981221,-275024.4600938967
Random CV,CHAPINERO,103867424,-632970.6666666666
Random CV,LOS MARTIRES,86075415.23076923,4718482.307692308
Random CV,CIUDAD BOLIVAR,83917844.36363636,-33949495.27272727
Random CV,CANDELARIA,82954985.84615384,38154683.07692308
Random CV,USAQUEN,77802580.67697297,-3256557.2490810812
Random CV,SUBA,73841712.92424242,1882752.3787878787
Random CV,SANTA FE,73544784.28915663,9986561.313253012
Random CV,RAFAEL URIBE URIBE,72636142.08,-8907801.6
Random CV,PUENTE ARANDA,67731733.33333333,12795595.447154472
Random CV,BOSA,65751699.2,-9881516.8
Random CV,SAN CRISTOBAL,63991317.333333336,12975808
Random CV,ENGATIVA,63720901.983002834,-3302032.7252124646
Random CV,FONTIBON,61471557.527696796,-3273485.78425656
Random CV,TEUSAQUILLO,61457789.41402715,-1455063.726244344
Random CV,ANTONIO NARIÑO,58198530.217391305,6022240.565217392
Random CV,KENNEDY,56544958.44863014,4357019.482876712
Random CV,TUNJUELITO,54439081.73913044,23792798.608695652
UPZ,BARRIOS UNIDOS,122568872.5936073,5321276.0456621
UPZ,CHAPINERO,111530613.33333333,-15550602.666666666
UPZ,LOS MARTIRES,87315332.25,2767682.65
UPZ,CANDELARIA,85371115.07692307,43049136
UPZ,USAQUEN,76858751.87202261,-2748374.2099313685
UPZ,SUBA,71472993.54479419,2283495.2978208233
UPZ,SANTA FE,71328170.51428571,7095607.737142857
UPZ,PUENTE ARANDA,69701287.11764705,10899855.588235294
UPZ,RAFAEL URIBE URIBE,69411744,1971090.2857142857
UPZ,ANTONIO NARIÑO,66708323.458333336,7195771.208333333
UPZ,CIUDAD BOLIVAR,65672470.333333336,-28851331.133333333
UPZ,ENGATIVA,65224789.69863014,-2442221.3698630137
UPZ,FONTIBON,64937614.14713897,-1434026.8773841963
UPZ,TEUSAQUILLO,63963711.65226782,-1538747.5701943845
UPZ,BOSA,63565203.2,-25861433.6
UPZ,KENNEDY,55883351.14759036,8835398.611445783
UPZ,SAN CRISTOBAL,54353297.23076923,12749235.692307692
UPZ,TUNJUELITO,54106813.44,29806612.48
