LocNombre,mean_error,median_error
ANTONIO NARIÑO,90419571.05228758,44898528
BARRIOS UNIDOS,99493871.91512196,51496544
BOSA,64747004.631578945,53248416
CANDELARIA,111484693.4736842,59381728
CHAPINERO,96365042.32,67657312
CIUDAD BOLIVAR,50168362.28205128,26555520
ENGATIVA,67315630.19793814,37758912
FONTIBON,62124434.28323109,38621440
KENNEDY,61138991.0815822,35747840
LOS MARTIRES,93104461.83486238,60317024
PUENTE ARANDA,83938973.33333333,52152416
RAFAEL URIBE URIBE,89218853.85915492,55853376
SAN CRISTOBAL,84865038.85714285,64715664
SANTA FE,77269833.27912088,41656128
SUBA,74415066.46857597,45250160
TEUSAQUILLO,66635645.56597511,39698176
TUNJUELITO,68585989.33333333,47632832
USAQUEN,73312540.48182978,46363904
