feature,mean_abs_shap
(Intercept),654692352
bathrooms,82744425.2904585
surface_total,53812244.84125049
bedrooms,36496237.53470801
surface_covered,28159998.517429687
EPT,25273521.50963672
ESTRATO6,23895806.871
terraza,18600208.01259375
property_typeApartamento,13514589.7423125
dist_metro,12309635.279975586
dist_universidad,12243083.604159363
estudio_cuarto,11286581.930429688
ESTRATO3,11232385.701175781
dist_bus,11187764.098340089
dist_hospital,11023444.32239673
n_bancos_500m,10684984.552583007
rooms,9895418.75652002
walk_in_closet,9828166.46271875
dist_super,9670899.386124024
ESTRATO5,9387339.6754375
cocina_integral,9216077.671054687
dist_colegio,7363421.861634766
dist_parque,7321218.014584961
gym,7268647.220863281
dist_cafe,5996134.032797364
parqueadero,5943304.0597167965
AREA_HECTA,5549593.743259277
n_rest_500m,4935457.984449219
piscina,4773179.352227051
lavanderia,4662093.179209961
n_cafes_500m,4621794.131624633
vista,4330094.690890625
surface_total_was_na,3854203.6080390625
surface_covered_was_na,3777531.7927529295
n_gym_500m,3746887.546137207
cocina_americana,3494689.800082031
n_farmacias_500m,3328574.171776001
moderno,2935369.876113281
chimenea,2928180.093766632
conjunto,2844246.9745722655
CODIGO_UPZ14,2610548.759203003
pisos_madera,2413913.6802844238
squash,2362536.3272221987
salon_comunal,2280875.1002075197
duplex,2270423.8761972655
CODIGO_UPZ15,1951178.125149353
bathrooms_was_na,1918009.5057811278
CODIGO_UPZ16,1901922.726440796
ESTRATO2,1841600.1991464845
property_typeCasa,1638905.898975586
antiguo,1636853.7845498046
n_lamparas_200m,1571853.8590756531
ESTRATO4,1522792.8278405762
sin_ascensor,1511871.593421875
sala_reuniones,1496781.2726464844
zona_exterior_priv,1448296.6626875
vista_cerros,1369833.5374267579
remodelada,1349900.6171088868
CODIGO_UPZ13,1195880.3501499023
ESTRATO_was_na,1115468.1604676514
is_residential,1055246.888901367
golf,967548.530593628
CODIGO_UPZ110,934741.143984375
rooms_was_na,894234.3119161377
vigilancia,844401.5312016602
ascensor,819386.6744011231
parqueadero_inv,785022.5135670166
tenis,741287.3232877807
CODIGO_UPZ22,662060.8202351074
CODIGO_UPZ88,644865.366953125
CODIGO_UPZ20,627720.4964656372
CODIGO_UPZ94,585664.7383037109
CODIGO_UPZ74,556137.8845234375
apartaestudio,554548.3159409179
porteria,479573.0605449219
CODIGO_UPZ31,431430.13337261963
CODIGO_UPZ100,427326.56157177733
CODIGO_UPZ21,304171.26150427246
CODIGO_UPZ24,301513.3085588379
CODIGO_UPZ17,262306.9147836914
CODIGO_UPZ106,256132.42712939452
CODIGO_UPZ93,255107.3331166992
CODIGO_UPZ38,243638.94147427368
CODIGO_UPZ47,232995.61344491577
CODIGO_UPZ45,229970.1631920166
CODIGO_UPZ73,220446.45420849608
CODIGO_UPZ12,204752.1314607544
CODIGO_UPZ97,199028.410953125
CODIGO_UPZ41,191212.50973535157
CODIGO_UPZ111,184439.5923046875
CODIGO_UPZ98,168422.71116711426
CODIGO_UPZ40,161744.16726657105
CODIGO_UPZ23,156216.51411730956
CODIGO_UPZ91,137476.8443005371
CODIGO_UPZ115,135136.14240234374
CODIGO_UPZ19,133625.4221225891
CODIGO_UPZ29,123625.30600112915
CODIGO_UPZ109,122977.56081823731
CODIGO_UPZ25,122224.29526672364
CODIGO_UPZ102,121436.26210839844
CODIGO_UPZ48,120701.67150292969
CODIGO_UPZ44,116813.48947018433
CODIGO_UPZ75,114764.15389648438
CODIGO_UPZ30,113175.1642630005
CODIGO_UPZ105,108855.03811132812
CODIGO_UPZ26,104806.3333070221
CODIGO_UPZ95,104078.07796191407
CODIGO_UPZ42,103834.33723925782
CODIGO_UPZ37,102205.75985873413
CODIGO_UPZ49,98468.50919433594
CODIGO_UPZ101,95512.04134375
CODIGO_UPZ90,90583.86050488282
CODIGO_UPZ79,74372.81965814209
CODIGO_UPZ107,69610.11828710938
CODIGO_UPZ108,67187.683950195307
CODIGO_UPZ112,67035.83080908204
CODIGO_UPZ36,63337.194249023436
CODIGO_UPZ33,55167.154853912354
CODIGO_UPZ114,52735.833488586424
CODIGO_UPZ27,46484.74931199646
CODIGO_UPZ96,40209.01912939453
CODIGO_UPZ46,39867.6805166626
CODIGO_UPZ72,36987.40480053711
CODIGO_UPZ71,27275.870637695312
CODIGO_UPZ28,21958.63023864746
CODIGO_UPZ65,20829.96913220215
CODIGO_UPZ18,19438.476438964844
CODIGO_UPZ43,19020.85167732239
CODIGO_UPZ78,18777.103244628906
CODIGO_UPZ92,18434.077907958985
CODIGO_UPZ103,15043.312957275391
CODIGO_UPZ39,14158.023200073243
CODIGO_UPZ76,7314.972390686035
CODIGO_UPZ116,6953.8826513671875
CODIGO_UPZ82,6177.823888519287
CODIGO_UPZ35,4335.0588762207035
CODIGO_UPZ9,2858.8256878051757
CODIGO_UPZ104,0
CODIGO_UPZ11,0
CODIGO_UPZ113,0
CODIGO_UPZ117,0
CODIGO_UPZ69,0
CODIGO_UPZ70,0
CODIGO_UPZ77,0
CODIGO_UPZ80,0
CODIGO_UPZ81,0
CODIGO_UPZ99,0
CODIGO_UPZ_was_na,0
ESTRATO1,0
escaleras_int,0
piscina_privada,0
