CV,Fold,MAE
Random CV,1,76026891.7187217
Random CV,2,75874418.21425799
Random CV,3,76629895.40639152
Random CV,4,75640501.83723639
Random CV,5,76464584.76915114
Random CV (proporción de localidad),1,76576203.18085381
Random CV (proporción de localidad),2,75580074.82183982
Random CV (proporción de localidad),3,75988817.96972442
Random CV (proporción de localidad),4,75982858.77587992
Random CV (proporción de localidad),5,76247482.68400621
Spatial CV (leave-locality-out),1,62525724.571428575
Spatial CV (leave-locality-out),2,63499899.96638656
Spatial CV (leave-locality-out),3,68450002.6969697
Spatial CV (leave-locality-out),4,69294090.76221499
Spatial CV (leave-locality-out),5,72836650.25988701
Spatial CV (leave-locality-out),6,61011225.507246375
Spatial CV (leave-locality-out),7,60937768.22857143
Spatial CV (leave-locality-out),8,74571943.10944206
Spatial CV (leave-locality-out),9,77223391.56056449
Spatial CV (leave-locality-out),10,72110036.63246669
Spatial CV (leave-locality-out),11,68663746.20089956
Spatial CV (leave-locality-out),12,74400789.44100198
Spatial CV (leave-locality-out),13,73485202.04391892
Spatial CV (leave-locality-out),14,74353338.40046838
Spatial CV (leave-locality-out),15,70854948.16107382
Spatial CV (leave-locality-out),16,74290744.35124864
Spatial CV (leave-locality-out),17,74493608.14909886
Spatial CV (leave-locality-out),18,72898163.97765364
Spatial CV (leave-UPZ-out),1,65187818.32258064
Spatial CV (leave-UPZ-out),2,61026033.623188406
Spatial CV (leave-UPZ-out),3,62009038.7368421
Spatial CV (leave-UPZ-out),4,60268204.6984127
Spatial CV (leave-UPZ-out),5,48944087.27272727
Spatial CV (leave-UPZ-out),6,68826114.69924812
Spatial CV (leave-UPZ-out),7,68079715.32439679
Spatial CV (leave-UPZ-out),8,56485084.952380955
Spatial CV (leave-UPZ-out),9,68639362.81574804
Spatial CV (leave-UPZ-out),10,74583552.50699301
Spatial CV (leave-UPZ-out),11,67325364.9882353
Spatial CV (leave-UPZ-out),12,76017939.34883721
Spatial CV (leave-UPZ-out),13,65725089.52380952
Spatial CV (leave-UPZ-out),14,73431089.65363128
Spatial CV (leave-UPZ-out),15,70402092.21875
Spatial CV (leave-UPZ-out),16,52290518.85714286
Spatial CV (leave-UPZ-out),17,67675908.65206812
Spatial CV (leave-UPZ-out),18,63068333.176470585
Spatial CV (leave-UPZ-out),19,68120563.84367816
Spatial CV (leave-UPZ-out),20,68785036.25076452
Spatial CV (leave-UPZ-out),21,68373640.14578588
Spatial CV (leave-UPZ-out),22,59271209.45454545
Spatial CV (leave-UPZ-out),23,69599631.17318435
Spatial CV (leave-UPZ-out),24,59999163.63636363
Spatial CV (leave-UPZ-out),25,69576415.6462585
Spatial CV (leave-UPZ-out),26,69208463.21243523
Spatial CV (leave-UPZ-out),27,65995607.46666667
Spatial CV (leave-UPZ-out),28,57890510.97872341
Spatial CV (leave-UPZ-out),29,57949811.428571425
Spatial CV (leave-UPZ-out),30,77186010.4393617
Spatial CV (leave-UPZ-out),31,58751159.85454545
Spatial CV (leave-UPZ-out),32,58294240
Spatial CV (leave-UPZ-out),33,66717410.782608695
Spatial CV (leave-UPZ-out),34,68836610.71328671
Spatial CV (leave-UPZ-out),35,58128794.28571428
Spatial CV (leave-UPZ-out),36,68422313.92975971
