CV,localidad,estrato,property_type,y,pred,error,abs_error,pct_error
NorEste Holdout,KENNEDY,2,Apartamento,1650000000,370557120,-1279442880,1279442880,0.7754199272727272
NorEste Holdout,USAQUEN,4,Apartamento,1610000000,491278752,-1118721248,1118721248,0.6948579180124224
Localidad,USAQUEN,4,Apartamento,1610000000,512176064,-1097823936,1097823936,0.6818782211180124
NorEste Holdout,KENNEDY,3,Apartamento,1350000000,278412192,-1071587808,1071587808,0.7937687466666666
NorEste Holdout,FONTIBON,4,Apartamento,1600000000,560262720,-1039737280,1039737280,0.6498358
Localidad,FONTIBON,4,Apartamento,1600000000,584410304,-1015589696,1015589696,0.63474356
NorEste Holdout,TEUSAQUILLO,4,Apartamento,1450000000,434584768,-1015415232,1015415232,0.7002863668965518
Localidad,SUBA,5,Apartamento,1600000000,584886016,-1015113984,1015113984,0.63444624
NorEste Holdout,FONTIBON,3,Casa,1650000000,652690368,-997309632,997309632,0.60443008
NorEste Holdout,SUBA,5,Apartamento,1600000000,604720832,-995279168,995279168,0.62204948
NorEste Holdout,TEUSAQUILLO,0,Casa,420000000,1404659456,984659456,984659456,2.3444272761904763
NorEste Holdout,USAQUEN,0,Apartamento,1540000000,556624000,-983376000,983376000,0.6385558441558442
NorEste Holdout,FONTIBON,3,Casa,1500000000,527572256,-972427744,972427744,0.6482851626666667
NorEste Holdout,TEUSAQUILLO,0,Apartamento,1550000000,590557440,-959442560,959442560,0.6189952
NorEste Holdout,SANTA FE,3,Apartamento,1650000000,705719936,-944280064,944280064,0.5722909478787879
NorEste Holdout,SUBA,5,Apartamento,1650000000,709214336,-940785664,940785664,0.5701731296969696
NorEste Holdout,SUBA,0,Apartamento,1450000000,509785312,-940214688,940214688,0.6484239227586207
NorEste Holdout,CANDELARIA,2,Casa,1600000000,660670080,-939329920,939329920,0.5870812
Localidad,SANTA FE,2,Apartamento,1500000000,564746176,-935253824,935253824,0.6235025493333334
NorEste Holdout,USAQUEN,0,Apartamento,1540000000,606736832,-933263168,933263168,0.6060150441558442
Localidad,SANTA FE,3,Apartamento,1650000000,716852800,-933147200,933147200,0.5655437575757576
NorEste Holdout,SANTA FE,3,Apartamento,1650000000,718058176,-931941824,931941824,0.5648132266666667
NorEste Holdout,BARRIOS UNIDOS,3,Casa,1460000000,530499808,-929500192,929500192,0.6366439671232876
