Feature,Gain,Cover,Frequency,feature_group
bathrooms,0.3178429253799201,0.06307358265508967,0.04894780528294517,Properati structural
surface_total,0.08581312917231138,0.05285597286486343,0.04389434109662614,Properati structural
EPT,0.049029912224487104,0.02073396258452058,0.019627947854108686,OSM / Spatial
surface_covered,0.043355483712936085,0.03787793067804456,0.04238074312777696,Properati structural
bedrooms,0.04255982422708371,0.043796733608593895,0.03332356818514721,Properati structural
dist_metro,0.03068422519903509,0.043500559508327354,0.04965577852643914,OSM / Spatial
rooms,0.030135932827533365,0.02966928461350427,0.03493481763585762,Properati structural
ESTRATO3,0.02836980546595267,0.002816463016458006,0.004199013720033201,Properati structural
dist_bus,0.027934622767155082,0.053400186500257255,0.057345832723011574,OSM / Spatial
dist_hospital,0.025402620546885468,0.043327368979133064,0.050729944826912746,OSM / Spatial
dist_universidad,0.02360156341129135,0.03899921940943686,0.052707387334602805,OSM / Spatial
dist_parque,0.022800634707626586,0.043038604763151335,0.05888384356232606,OSM / Spatial
ESTRATO6,0.02118210368218336,0.004360449757201353,0.004687271129339388,Properati structural
dist_cafe,0.018977014521572015,0.037106110007088126,0.05353742493042332,OSM / Spatial
dist_colegio,0.018795626572596848,0.04344082709808391,0.05229236853669254,OSM / Spatial
dist_super,0.017996560199398687,0.05250244097131289,0.05378155363507641,OSM / Spatial
n_rest_500m,0.013842221266817984,0.020581684875139564,0.030686978174893804,OSM / Spatial
n_bancos_500m,0.012350756631321517,0.024776370178001612,0.02328987842390508,OSM / Spatial
terraza,0.011517271960322385,0.0056884974666237065,0.011059030320785118,Text-derived / amenities
AREA_HECTA,0.00992675691781294,0.010709970426196576,0.014061813388018164,OSM / Spatial
n_cafes_500m,0.009042065122148318,0.022406631977038835,0.022972511107856062,OSM / Spatial
ESTRATO2,0.008139713470821744,0.0031101437689171297,0.0016356623211757238,Properati structural
n_farmacias_500m,0.0081326496551599875,0.0172981131153322,0.023851374444607196,OSM / Spatial
property_typeApartamento,0.007106661289776556,0.002946467898130789,0.003832820663053562,Properati structural
walk_in_closet,0.006548582504605973,0.0060234425856098795,0.005199941409110884,OSM / Spatial
ESTRATO5,0.006057085515199793,0.003420624936364313,0.004321078072359748,Properati structural
estudio_cuarto,0.0059082035253649485,0.005265740091848673,0.008129485864948001,Properati structural
gym,0.005429596622733601,0.0036901763424014595,0.005614960207021141,Text-derived / amenities
n_gym_500m,0.005400115209809949,0.015498050919796546,0.01347590449685074,OSM / Spatial
surface_total_was_na,0.005103412479979578,0.0046359862773476404,0.007836531419364289,Properati structural
surface_covered_was_na,0.005021149633800887,0.0038550772996646036,0.006689126507494751,Properati structural
cocina_integral,0.00430572544671573,0.004964649455104742,0.006298520580049803,Text-derived / amenities
n_lamparas_200m,0.004177433222999906,0.014058277482432395,0.007958595771690835,OSM / Spatial
chimenea,0.003814916228231361,0.0033691767011952882,0.007519164103315268,Text-derived / amenities
bathrooms_was_na,0.0036336225985082386,0.003066467007433555,0.008275963087739856,Properati structural
CODIGO_UPZ14,0.003484544690495483,0.0017196220460345187,0.002416874176065622,Properati structural
parqueadero,0.002876338704444602,0.005115416044602474,0.008666569015184806,Properati structural
piscina,0.0028546506571020713,0.004200524701839586,0.003515453347004541,Properati structural
